# source: http://www.cfapubs.org/doi/pdf/10.2469/faj.v69.n4.1
Year, Jewelry, Investment, Technology, Production, Implied Scrap, Gold Price
2001, 3009, 357, 363, 2600, 1129, 279
2002, 2662, 343, 358, 2550, 813, 348
2003, 2484, 340, 382, 2540, 666, 416
2004, 2616, 485, 414, 2420, 1095, 438
2005, 2718, 601, 433, 2470, 1282, 519
2006, 2298, 676, 462, 2370, 1066, 638
2007, 2417, 688, 465, 2360, 1210, 838
2008, 2192, 1181, 439, 2290, 1522, 884
2009, 1760, 1360, 373, 2450, 1043, 1096
2010, 2060, 1333, 420, 2560, 1253, 1421
2011, 1963, 1641, 464, 2821, 1247, 1567
